customer_id,customer_name,city,signup_date,signup_channel,customer_segment
CUST_00001,Customer 1,Dubai,2025-10-22,App,Regular
CUST_00002,Customer 2,Sharjah,2025-11-11,App,Regular
CUST_00003,Customer 3,Dubai,2025-08-30,Call Center,Regular
CUST_00004,Customer 4,Dubai,2025-11-13,Call Center,Regular
CUST_00005,Customer 5,Ras Al Khaimah,2025-06-01,Web,Regular
CUST_00006,Customer 6,Dubai,2025-10-21,App,Regular
CUST_00007,Customer 7,Abu Dhabi,2025-05-07,App,Regular
CUST_00008,Customer 8,Dubai,2025-11-04,Call Center,Regular
CUST_00009,Customer 9,Dubai,2025-05-12,Call Center,Regular
CUST_00010,Customer 10,Sharjah,2025-10-11,Call Center,Regular
CUST_00011,Customer 11,Ras Al Khaimah,2025-03-05,App,Regular
CUST_00012,Customer 12,Abu Dhabi,2025-04-24,App,Regular
CUST_00013,Customer 13,Dubai,2025-05-09,App,VIP
CUST_00014,Customer 14,Sharjah,2025-02-06,App,Regular
CUST_00015,Customer 15,Dubai,2025-06-15,Call Center,Regular
CUST_00016,Customer 16,Abu Dhabi,2025-12-25,Call Center,Regular
CUST_00017,Customer 17,Dubai,2025-09-04,Web,Regular
CUST_00018,Customer 18,Dubai,2025-06-15,Web,Regular
CUST_00019,Customer 19,Abu Dhabi,2025-09-10,App,VIP
CUST_00020,Customer 20,Sharjah,2025-01-08,Web,Regular
CUST_00021,Customer 21,Ajman,2025-09-29,Call Center,VIP
CUST_00022,Customer 22,Dubai,2025-11-26,Call Center,Regular
CUST_00023,Customer 23,Ras Al Khaimah,2025-10-14,App,Regular
CUST_00024,Customer 24,Dubai,2025-06-03,App,Regular
CUST_00025,Customer 25,Ras Al Khaimah,2025-02-07,App,Regular
CUST_00026,Customer 26,Sharjah,2025-04-19,App,Regular
CUST_00027,Customer 27,Abu Dhabi,2025-09-17,App,Regular
CUST_00028,Customer 28,Dubai,2025-06-12,Call Center,Regular
CUST_00029,Customer 29,Sharjah,2025-11-19,Call Center,Premium
CUST_00030,Customer 30,Dubai,2025-09-05,Call Center,Regular
CUST_00031,Customer 31,Ajman,2025-05-02,App,Regular
CUST_00032,Customer 32,Dubai,2025-11-26,Call Center,Regular
CUST_00033,Customer 33,Dubai,2025-12-27,Call Center,Regular
CUST_00034,Customer 34,Dubai,2025-01-10,Call Center,Regular
CUST_00035,Customer 35,Dubai,2025-08-27,Web,Premium
CUST_00036,Customer 36,Sharjah,2025-05-03,Call Center,Premium
CUST_00037,Customer 37,Abu Dhabi,2025-09-19,App,Premium
CUST_00038,Customer 38,Dubai,2025-03-11,App,Regular
CUST_00039,Customer 39,Ajman,2025-01-04,App,Regular
CUST_00040,Customer 40,Abu Dhabi,2025-07-15,Web,Regular
CUST_00041,Customer 41,Abu Dhabi,2025-10-18,Call Center,Premium
CUST_00042,Customer 42,Dubai,2025-10-16,Call Center,Regular
CUST_00043,Customer 43,Dubai,2025-09-04,Web,Regular
CUST_00044,Customer 44,Dubai,2025-11-26,App,Premium
CUST_00045,Customer 45,Sharjah,2025-01-06,Web,Premium
CUST_00046,Customer 46,Dubai,2025-02-21,Call Center,Premium
CUST_00047,Customer 47,Dubai,2025-12-15,App,Regular
CUST_00048,Customer 48,Abu Dhabi,2025-07-23,App,Premium
CUST_00049,Customer 49,Ajman,2025-08-12,Call Center,Regular
CUST_00050,Customer 50,Abu Dhabi,2025-07-25,Web,Regular
CUST_00051,Customer 51,Dubai,2025-04-28,Call Center,Regular
CUST_00052,Customer 52,Dubai,2025-07-17,App,Regular
CUST_00053,Customer 53,Dubai,2025-11-30,Web,VIP
CUST_00054,Customer 54,Dubai,2025-06-23,Web,Premium
CUST_00055,Customer 55,Dubai,2025-03-23,App,Regular
CUST_00056,Customer 56,Ras Al Khaimah,2025-01-26,Web,Regular
