item_id,order_id,product_category,product_name,quantity,unit_price,item_total
ITEM_000001,ORD_003427,Electronics,Product 1,2,763.24,1526.48
ITEM_000002,ORD_007736,Electronics,Product 2,1,378.83,378.83
ITEM_000003,ORD_000691,Fashion,Product 3,1,570.81,570.81
ITEM_000004,ORD_003635,Fashion,Product 4,2,478.73,957.47
ITEM_000005,ORD_005654,Groceries,Product 5,2,529.76,1059.52
ITEM_000006,ORD_003114,Fashion,Product 6,3,255.86,767.57
ITEM_000007,ORD_001393,Electronics,Product 7,2,185.1,370.19
ITEM_000008,ORD_003206,Electronics,Product 8,1,782.67,782.67
ITEM_000009,ORD_007649,Beauty,Product 9,3,257.39,772.17
ITEM_000010,ORD_004353,Beauty,Product 10,1,281.46,281.46
ITEM_000011,ORD_007630,Home & Kitchen,Product 11,2,644.52,1289.04
ITEM_000012,ORD_006574,Electronics,Product 12,1,701.72,701.72
ITEM_000013,ORD_001108,Electronics,Product 13,2,610.78,1221.55
ITEM_000014,ORD_004085,Home & Kitchen,Product 14,3,680.68,2042.05
ITEM_000015,ORD_002554,Electronics,Product 15,2,572.05,1144.1
ITEM_000016,ORD_003337,Electronics,Product 16,1,194.82,194.82
ITEM_000017,ORD_002038,Beauty,Product 17,1,197.58,197.58
ITEM_000018,ORD_004949,Beauty,Product 18,1,506.56,506.56
ITEM_000019,ORD_007998,Home & Kitchen,Product 19,1,633.97,633.97
ITEM_000020,ORD_004767,Electronics,Product 20,2,796.94,1593.87
ITEM_000021,ORD_001152,Beauty,Product 21,3,339.48,1018.43
ITEM_000022,ORD_005643,Beauty,Product 22,3,695.44,2086.33
ITEM_000023,ORD_002054,Groceries,Product 23,1,239.46,239.46
ITEM_000024,ORD_004180,Electronics,Product 24,1,524.4,524.4
ITEM_000025,ORD_003224,Home & Kitchen,Product 25,1,249.82,249.82
ITEM_000026,ORD_001473,Fashion,Product 26,1,495.45,495.45
ITEM_000027,ORD_001452,Electronics,Product 27,3,246.33,738.98
ITEM_000028,ORD_001925,Fashion,Product 28,2,506.26,1012.52
ITEM_000029,ORD_004806,Electronics,Product 29,3,547.4,1642.21
ITEM_000030,ORD_001311,Electronics,Product 30,2,737.63,1475.26
ITEM_000031,ORD_007363,Fashion,Product 31,3,441.44,1324.32
ITEM_000032,ORD_005919,Groceries,Product 32,1,332.66,332.66
ITEM_000033,ORD_006210,Electronics,Product 33,2,228.41,456.81
ITEM_000034,ORD_002838,Home & Kitchen,Product 34,1,372.29,372.29
ITEM_000035,ORD_003233,Fashion,Product 35,1,737.62,737.62
ITEM_000036,ORD_007005,Beauty,Product 36,2,641.61,1283.21
ITEM_000037,ORD_004699,Electronics,Product 37,2,746.66,1493.32
ITEM_000038,ORD_007543,Electronics,Product 38,3,329.24,987.73
ITEM_000039,ORD_005448,Electronics,Product 39,3,223.5,670.5
ITEM_000040,ORD_001570,Home & Kitchen,Product 40,2,379.67,759.34
ITEM_000041,ORD_003102,Groceries,Product 41,1,731.1,731.1
ITEM_000042,ORD_002891,Home & Kitchen,Product 42,1,526.18,526.18
ITEM_000043,ORD_002257,Fashion,Product 43,3,605.47,1816.42
ITEM_000044,ORD_005420,Fashion,Product 44,2,732.84,1465.67
ITEM_000045,ORD_005108,Fashion,Product 45,2,346.35,692.7
ITEM_000046,ORD_003729,Electronics,Product 46,1,549.47,549.47
