order_id,customer_id,order_date,order_channel,order_status,gross_amount,discount_amount,net_amount,payment_method,coupon_code
ORD_000001,CUST_00963,2025-11-23,App,Delivered,1919.8,0.0,1919.8,COD,
ORD_000002,CUST_00548,2025-12-04,App,Delivered,963.77,272.77,691.0,Wallet,
ORD_000003,CUST_00956,2025-12-21,App,Returned,1662.27,447.29,1214.98,Card,NEW10
ORD_000004,CUST_01438,2026-01-01,Call Center,Delivered,235.34,0.0,235.34,COD,
ORD_000005,CUST_01253,2025-11-16,App,Delivered,805.22,88.59,716.63,Wallet,SALE20
ORD_000006,CUST_01705,2025-11-12,Web,Delivered,838.18,0.0,838.18,Apple Pay,
ORD_000007,CUST_01313,2025-10-16,App,Delivered,959.99,0.0,959.99,Card,
ORD_000008,CUST_01261,2025-12-06,App,Delivered,267.69,0.0,267.69,Card,
ORD_000009,CUST_00412,2025-10-23,Call Center,Delivered,272.47,69.24,203.23,Wallet,FESTIVE
ORD_000010,CUST_01868,2025-11-17,App,Returned,529.12,0.0,529.12,Card,SALE20
ORD_000011,CUST_00520,2025-12-30,App,Delivered,1635.9,0.0,1635.9,Card,FESTIVE
ORD_000012,CUST_01589,2025-11-19,App,Delivered,1652.03,0.0,1652.03,COD,NEW10
ORD_000013,CUST_01034,2025-11-14,App,Cancelled,387.64,0.0,387.64,Apple Pay,SALE20
ORD_000014,CUST_00041,2025-12-24,App,Delivered,896.21,264.5,631.71,Wallet,
ORD_000015,CUST_00590,2025-12-23,App,In Transit,1526.26,197.63,1328.63,Apple Pay,FESTIVE
ORD_000016,CUST_01568,2025-12-04,Web,In Transit,382.0,0.0,382.0,Apple Pay,
ORD_000017,CUST_00803,2025-10-25,Web,Delivered,676.18,33.89,642.28,Apple Pay,SALE20
ORD_000018,CUST_00217,2025-10-26,App,Delivered,494.19,0.0,494.19,Wallet,
ORD_000019,CUST_01326,2025-12-10,App,Delivered,991.06,0.0,991.06,Wallet,
ORD_000020,CUST_01379,2025-11-30,Web,Cancelled,1417.7,171.26,1246.44,Apple Pay,
ORD_000021,CUST_01422,2025-10-30,App,Delivered,364.02,93.93,270.09,Wallet,
ORD_000022,CUST_01341,2025-12-04,Web,Delivered,1032.65,0.0,1032.65,COD,
ORD_000023,CUST_01589,2025-11-13,Web,Returned,799.4,139.11,660.29,Apple Pay,FESTIVE
ORD_000024,CUST_01924,2025-11-13,Web,Delivered,1064.29,0.0,1064.29,Card,NEW10
ORD_000025,CUST_00451,2025-11-23,App,Delivered,1224.96,112.9,1112.05,Card,
ORD_000026,CUST_01371,2025-12-30,Web,In Transit,1179.99,0.0,1179.99,Wallet,NEW10
ORD_000027,CUST_01894,2025-11-04,App,Cancelled,721.48,195.06,526.42,Apple Pay,
ORD_000028,CUST_01928,2025-12-16,App,Cancelled,1572.25,0.0,1572.25,Wallet,FESTIVE
ORD_000029,CUST_01520,2025-10-10,App,Delivered,199.96,12.63,187.33,Apple Pay,
ORD_000030,CUST_01081,2026-01-03,App,Delivered,1707.03,0.0,1707.03,Card,NEW10
ORD_000031,CUST_00925,2026-01-01,App,Delivered,657.25,139.79,517.46,Apple Pay,
ORD_000032,CUST_00602,2025-10-16,Call Center,Delivered,1192.14,107.69,1084.45,Card,
ORD_000033,CUST_01559,2025-12-27,App,In Transit,330.31,0.0,330.31,Apple Pay,
ORD_000034,CUST_01526,2025-10-19,App,Delivered,500.38,0.0,500.38,Card,SALE20
ORD_000035,CUST_01498,2025-12-28,Call Center,Cancelled,974.42,0.0,974.42,Apple Pay,
ORD_000036,CUST_01928,2025-12-15,App,Delivered,1280.24,0.0,1280.24,Apple Pay,FESTIVE
ORD_000037,CUST_01955,2025-10-09,App,Delivered,1168.56,0.0,1168.56,Card,
ORD_000038,CUST_01621,2025-12-15,Web,Cancelled,1297.94,88.4,1209.54,Card,
ORD_000039,CUST_00378,2025-12-03,Web,Delivered,1003.16,282.3,720.86,COD,
ORD_000040,CUST_00006,2025-10-14,Call Center,Delivered,664.14,68.09,596.06,Apple Pay,
ORD_000041,CUST_01429,2025-11-23,Web,In Transit,548.79,0.0,548.79,Card,NEW10
ORD_000042,CUST_01711,2025-12-26,App,Delivered,505.82,0.0,505.82,Apple Pay,
ORD_000043,CUST_01667,2025-12-04,App,Delivered,1146.15,136.78,1009.37,COD,
ORD_000044,CUST_00948,2025-11-19,Call Center,Delivered,1016.47,0.0,1016.47,Card,
ORD_000045,CUST_00506,2025-11-17,App,Cancelled,751.22,0.0,751.22,Apple Pay,FESTIVE
ORD_000046,CUST_01831,2025-11-06,Web,Delivered,1991.92,0.0,1991.92,Wallet,SALE20
ORD_000047,CUST_01475,2026-01-04,App,Delivered,762.52,0.0,762.52,Apple Pay,
ORD_000048,CUST_01172,2025-12-21,Call Center,In Transit,1483.93,0.0,1483.93,COD,
ORD_000049,CUST_00198,2025-12-03,App,Delivered,1450.82,0.0,1450.82,Apple Pay,
ORD_000050,CUST_01309,2025-12-02,App,Delivered,767.54,0.0,767.54,Wallet,
